Systemnummer,Barcode,Volltext,Verlagsort normiert ; GND-ID,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Marker,Werktitel,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe
AC09909747,Z176514702,http://data.onb.ac.at/ABO/%2BZ176514702,Ingolstadt; (DE-588)4026991-7,"Hänlin, Gregor; (DE-588)121722201","Hänlin, Gregor; (DE-588)121722201",1622,TravelogueD17 Südamerika,Naufragio y peregrinacion de Pedro Gobeo de Vitoria; 1610,"Wunderbarliche vnd seltzame Raiß Deß Jungen vnd Edlen Herrn Petri de Victoria Auß Hispanien in das Königreich Peru; Von jhme selbst beschriben, vnnd von den Patribus der Societet Iesu deren Orthen in Europam geschickt. An jetzo auß dem Lateinischen Exemplar in die Teutsche Sprach versetzt"
AC09912310,Z200807900;Z200807808,http://data.onb.ac.at/ABO/%2BZ200807900;http://data.onb.ac.at/ABO/%2BZ200807808,Basel; (DE-588)4004617-5,"Genath, Johann Jacob; (DE-588)121416720","Genath, Johann Jacob; (DE-588)121416720",1609,TravelogueD17 Europa,,Newe vnd volkom[m]ne Jtalianische/ Frantzösische/ vnd Englische Schatzkamer:; Das ist: Wahrhaffte vnd eigendtliche Beschreibung aller Stätten in Jtalia/ Sicilia/ Sardinia/ Corsica/ Franckreich/ Engelland/ vnd darumb ligenden Provintzen: wie auch der denckwürdigsten Sachen/ so sich daselbsten jemahln zugetragen: Neben summarischen Historien aller Keisern/ Bäpsten/ Königen/ Hertzogen/ vnd Regimenten: auch grundkritischer Erklärung der Antiquiteten/ vnd sonsten wunderbaren Sachen. Sampt einem Discurs vom Meer/ desselben Beschaffenheit vnd Schiffahrten. So wohl auß selbs eigner Erfahrung/ alß auß den besten latinischen/ Jtalianischen vnnd Frantzößischen Authoren/ jedermenniglich zu Dienst vnd Belustigung/ mit trewen zusamen getragen; durch Joh: Jacob Graffern/ Com. Palatinum
AC06021769,Z166665406,http://data.onb.ac.at/ABO/%2BZ166665406,Augsburg; (DE-588)4003614-5,"Dabertzhofer, Chrysostomus; (DE-588)1036633810","Dabertzhofer, Chrysostomus; (DE-588)1036633810",1611,TravelogueD17 Asien,"Relaçam Annual das Cousas que fizeram os Padres da Companhia de Jesu nas partes da India Oriental, e em alguas outras da conquista deste Reyno nos annos de 606. et 607.; 1609",Historischer Bericht/ Was sich in dem grossen vnnd nun je lenger je mehr bekandten Königreich China/ in Verkündigung deß H. Evangelij und fortpflantzung des Catholischen Glaubens/ von 1604. vnd volgenden Jaren/ denckwürdigs zugetragen; Auß Portugesischen zu Lisabona gedruckten Exemplaren ins Teutsch gebracht; [Ermittelt: Fernão Guerreiro]
AC09921668,Z166665509,http://data.onb.ac.at/ABO/%2BZ166665509,Augsburg; (DE-588)4003614-5,"Krüger, Johann; (DE-588)1037526252","Dabertzhofer, Chrysostomus; (DE-588)1036633810",1614,TravelogueD17 Asien,"Relaçam annal das cousas que fizeram os padres da companhia de Jesus, nas partes da India Oriental, & em alguas outras da conquista deste reyno nos annos de 607. & 608.","Jndianische Newe Relation/ Erster theil. WAs sich in der Goanischen Prouintz / vnd in der Mission Monomatapa/ Mogor/ auch in der Prouintz Cochin/ Malabaria/ China/ Pegu vnnd Maluco/ so wol in Geistlichen als Weltlichen Sachen/ vom 1607. 1608 vnd folgenden zugetragen; Vom R. Patre Fernando Guerreiro, der Societet Iesv, in Portugesischer Sprach beschriben. Nachmals auß dem zu Lißbona getruckten Exemplaren ins Teutsch gebracht"
AC09924062,Z180713907,http://data.onb.ac.at/ABO/%2BZ180713907,Wien; (DE-588)4066009-6,"Cosmerovius, Matthäus; (DE-588)13310057X","Cosmerovius, Matthäus; (DE-588)13310057X",1655,TravelogueD17 Europa,,Peregrinatio Compostellana. Wallfarth und Weegweiser zu dem fernen S. Jacob in Gallicia; GOtt und seinen Heyligen zu Ehren: Denen Wallferttigen zu nutzen: Anderen zu Christlichem Trost: Geschehen/ vnd beschriben auff heuriges Iubileum Compostellanum M. DC. LV.; Von M. Christophoro Guntzinger/ Beneficiato Neostadij Austriæ
AC05861683,Z168352407,http://data.onb.ac.at/ABO/%2BZ168352407,Hanau; Oppenheim; (DE-588)4023201-3; (DE-588)4043637-8,"Hulsius, Maria; (DE-588)1174910941","Hulsius, Maria; (DE-588)1174910941",1617,TravelogueD17 Nordamerika,<<A>> true discourse of the present estate of Virginia; 1615,"Dreyzehende Schiffahrt Darinnen Ein Warhafftiger und gründtlicher Bericht/ von dem jtzigen Zustandt der Landtschafft Virginien; Auch wie nunmehr der Friede mit den Jndianern beschlossen: Vnd wie etliche Städte vnd Vestunge alda zum Schutz der Landts von den Engelischen auffgebawet worden; Sampt Einer Relation, wie König Powhatans in Virginien Tochter/ Pocahuntas genant/ Christlichen getaufft vn[d] mit einem Englischen verheurahtet worden/ sehr anmütig zu lesen/ etc.; Erstlichen in Engelischer Sprach durch Raphe Hamor , &c. Secretarium daselbst beschrieben/ auß deren/ durch einen Liebhaber der Historien, in Teutsch übergesetzt"
AC09934618,Z203393302,http://data.onb.ac.at/ABO/%2BZ203393302,Nürnberg; (DE-588)4042742-0,"Endter, Wolfgang Moritz; (DE-588)128718358","Endter, Wolfgang Moritz; (DE-588)128718358",1678,TravelogueD17 Orient; TravelogueD17 Europa Asien,"Cesta z království českého do Benátek, odtud do země svaté, země judské a dále do Egypta, a potom na horu Oreb, Sinai a sv. Kateřiny v pusté Arabii; 1608",<<Der>> Christliche Ulysses/ Oder Weit=versuchte Cavallier/ Fürgestellt Jn der Denckwürdigen Bereisung So wol deß Heiligen Landes/ Als vieler andrer morgenländischer Provintzen/ Landschafften/ und berühmter Städte:; Welche/ mit sonderbarer Curiosität und klüglicher Bemerckung aller solcher fremden Oerter und Einwohner manchfaltigen wunderseltsamen Gebräuchen/ Sitten/ Natur= und Eigenschafften/ wie auch andrer Denck= und Schauwürdigkeiten/ der/ zwar lang allbereit in GOtt ruhende/ Wolgeborne Herr Herr Christoph Harant/ Freyherr von Polschiz und Weseriz auf Pezka/ etc. Jhro Röm. Käiserl. Majestät Raht und Kämmerer/ etc. im Jahr 1598. rühmlich vollenbracht; auch alle Begebenheiten/ Vorfälle/ und Anmerckungen derselben/ in eine Zweygetheilte Historische Erzehlung/ aus eigener augenscheinender Erfahrung verfaßt/ und/ nebst Beyfügung mancher schönen zur Erläuterung dienender Figuren/ anfangs selbst in Böhmischer Sprache/ ordentlich/ glaub= und grundrichtig beschrieben; Folgends hernach aber dessen leiblicher Herr Bruder/ Der Wolgeborne Herr Herr Johann Georg Harant/ etc. im Jahr 1638. aufs fleissigste geteutschet: Und nunmehro endlich Durch Mich Christoph Wilhelm Harant/ Freyherr von Polschiz und Weseriz/ Herr zu Stöckach/ Jhro Römischen Käiserl. Majestät würcklicher Kämmerer/ General Feld=Wachtmeister/ und Obrister über ein Regiment Kürassierer/ zur Ergetzung deß Teutschen Lesers/ zum Druck befördert
AC09625865,Z163301100,http://data.onb.ac.at/ABO/%2BZ163301100,Oppenheim; Frankfurt am Main; (DE-588)4043637-8; (DE-588)4018118-2,"Bry, Johann Theodor <<de>>; (DE-588)11851640X","Galler, Hieronymus; (DE-588)136199127",1623,TravelogueD17 Nordamerika,<<A>> brief and true report of the new found land of Virginia; 1588,Wunderbarliche/ doch warhafftige Erklärung/ von der Gelegenheit vnd Sitten der Wilden in Virginia/ welche newlich von den Engelländern/ so im Jahr 1585. vom Herrn Reichard Greinuile/ einem von der Ritterschafft/ in gemeldte Landschafft/ die zu bewohnen/ geführet waren/ ist erfunden worden/ Jn Vorlegung H. Walter Ralegh/ Ritter vnd Obersten deß Zunnbergwercks/ auß Vergünstigung der Durchleuchtigsten vnd Vnvberwindlichsten/ Elisabeth/ Königin in Engelland/ etc.; Erstlich in Engelländischer Spraach beschrieben durch Thomam Hariot/ vnd newlich durch Christ. P. in Teutsch gebracht. Jetzt widerumb versehen/ vnd zum drittenmal in Truck gegeben
AC05954460,,,Heidelberg; (DE-588)4023996-2,"Vögelin, Gotthard; (DE-588)121377571","Vögelin, Gotthard; (DE-588)121377571",[1610],TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Aegyptiaca Servitus,Ægyptiaca Servitus:; Das ist/ Warhafte Beschreibung einer Dreyjährigen Dienstbarkeit/ So zu Alexandrien in Egypten jhren Anfang/ vnd zu Constantinopel jhr Endschafft genommen. Gott zu Ehren/ vnd dem Nechsten zur Nachrichtung/ in Drey vnterschiedene Bücher außgetheilet/ vnd mit etlichen Kupfferstücken in Druck verfertiget Durch Michael Heberer von Bretten/ Churfürstlicher Pfaltz Cantzley Registratorn/ der solche in der Person außgestanden. Mit zwo angehenckten Reisen/ die er nach seiner Dienstbarkeit/ in Vier Königreich/ Böhem/ Polen/ Schweden/ Dennemarckt/ Auch nechstligende Fürstenthumb vnd Seestädt vollbracht
AC09947694,,,Nürnberg; (DE-588)4042742-0,"Otto, Andreas; (DE-588)12907120X","Otto, Andreas; (DE-588)12907120X",1689,TravelogueD17 Nordamerika,Description de la Louisiana nouvellement decouverte au sud' oüest de la Nouvelle France; 1683,Beschreibung Der Landschafft Lovisiana Welche/ Auf Befehl des Königs in Frankreich/ neulich gegen Sudwesten Neu=Frankreichs Jn America entdecket worden; Nebenst ein erLand=Carten/ und Bericht von den Sitten und Lebens=Art der Wilden in selbiger Landschafft; Jn Französischer Sprache heraus gegeben durch P. Ludwig Hennepin/ Mission. Recoll. und Notarium Apostolicum. Nun aber ins Teutsche übersetzet
AC09949658,Z16868510X,http://data.onb.ac.at/ABO/%2BZ16868510X,Nürnberg; (DE-588)4042742-0,"Loschge, Leonhard; (DE-588)128350253","Loschge, Leonhard; (DE-588)128350253",1678,TravelogueD17 Europa,,"Denckwürdige Schiff=Reise Nach dem Groß=Hertzogthum Moscovien oder Rußland/ So in nächst=abgeflossenem 1677. Jahr von Amsterdam in Holland aus/ dahin geschehen:; Darinnen zugleich die sonst unglaublich=grosse Gefahr/ welche diese reisende Personen/ auf solcher Schif=Fahrt/ ausgestanden/ ehe dann sie/ durch gnädige und wunderbare Rettung Gottes/ bey der berühmten Kauff= und Handel=Stadt Archangel angelangt/ umständlich/ und leßwürdig erzehlet wird;; Anfangs aufgesetzt/ und in Niederländischer Sprach beschrieben Durch David Abraham Herfer, Als Augen=Zeugen und Geferten dieser gefährlichen Seefahrt/ nunmehr aber/ Zur Ergötzung des Teutschen Lesers/ auch in unsere Teutsche Mutter=Sprache übergesetzt/ und zum Druck gegeben Durch Leonhard Loschge/ Buchhändlern in Nürnberg"
AC08141413,Z205002705,http://data.onb.ac.at/ABO/%2BZ205002705,Bern; (DE-588)4005762-8,"Sonnleitner, Georg; (DE-588)103751212X","Sonnleitner, Georg; (DE-588)103751212X",1669,TravelogueD17 Asien,<<Eine>> kurtze Ost-Indianische Reiß-Beschreibung,<<Eine>> kurtze Ost=Jndianische Reiß=Beschreibung/; Darinnen Vieler Ost=Jdianischen Jnsulen und Landtschafften Gelegenheit/ der Einwohneren Sitten vnd Gottes=Dienst/ allerley Früchten vnd wilden Thieren beschaffenheit/ sampt etlichen nachdencklichen Belägerungen vnd Schlachten/ zwischen der Holländischen Ost=Jndianischen Comagney einer seits/ vnd etlicher Ost=Jndianischen Königen vnd Portugesischen Kriegs=Völckeren ander seits/ beschehen/ sonderlich der Chinesischen Belägerung vnd Eroberung der Jnsul Formosa/ angemerckt vnd in etlichen Kupfferstucken verzeichnet zu finden; Beschrieben vnd in einer Neun=Jährigen Reiß verrichtet/ Von Albrecht Herport/ Burgern der Statt Bern/ vnd der Mahlerey=Kunst Lieb=haberen. Cum Gratiâ & Privilegio Magistratûs Bernensis
AC14465945,Z168352900,http://data.onb.ac.at/ABO/%2BZ168352900,Frankfurt am Main; (DE-588)4018118-2,"Hulsius, Friedrich <<van>>; (DE-588)123645336","Weiß, Johann Friedrich; (DE-588)133122565",1623,TravelogueD17 Südamerika Nordamerika Asien Ozeanien,Descripción de las Indias occidentales; 1601,"Achtzehender Theil der Newen Welt/ Das ist: Gründliche volkommene Entdeckung aller der WestJndianischen Landschafften/ Jnsuln und Königreichen/ Secusten/ fliessenden vnd stehenden Wassern/ Port vnd Anlendungen/ Gebürgen/ Grentzen/ vnd Außtheilung der Provincien/ sampt eygentlicher Beschreibung der Stätte/ Flecken vnd Dörffer/ Herrschafft vnd Regierung/ Bistummen/ Stifft vnd Clöster/ wie starck dieselben an Jnwohnern/ wie reich an Einkommen/ was jedes Orts Gewerb/ Handthierung vnd Bequemlichkeiten/ Fruchtbarkeit vnd Nutzung/ alles nach jetziger Gestalt vnd Beschaffenheit von newem entdecket vnd beschrieben/; Durch Antonium de Herrera , Königliche[m] bestellten Historienschreiber der Reiche Castilien vnd Jndien/ Auß der Hispanischen Sprach in die Teutsche vbergesetzet  Jtem Gewisse Anzeig derjenigen/ so durch die gefährliche Enge der Magellanischen Strassen oder Sundts hindurch passirt/ vnd den ErdtKreiß rings vmbfahren haben. Alles mit schönen Landtaffeln vnd Kupfferstücken vor Augen gestellt zu volkommener Erklärung der obbesagten Materien"
AC09994471,Z155909506,http://data.onb.ac.at/ABO/%2BZ155909506,Lübeck; (DE-588)4036483-5,"Hakelmann, Albrecht; (DE-588)1037523830","Hakelmann, Albrecht; (DE-588)1037523830",1652,TravelogueD17 Europa Asien; TravelogueD17 Orient,De kleyne wonderlijcke werelt; 1649,Historische Beschreibung Der kleinen wunder Welt/ Welche liegt in den Käyserthumen/ Königreichen/ und Ländern: Als Türkeyen/ Vngern/ Pohlen/ Reussen/ Böhmen/ Oesterreich/ Deutschland/ Spanien/ Franckreich/ Jtalien/ Engeland/ das gelobte Land/ Newe Jerusalem/ Ost= und WestJndien; Beschrieben wie auch durch gereist/ Von Jacob Josten Spraachmeister von Amsterdam/ in 10. Sprachen. Vnd aus der Holländischen Spraach in die Hochdeutsche gebracht. Auch verbessert von zehenderley Artzneyen
AC06298243,Z255429002,http://data.onb.ac.at/ABO/%2BZ255429002,Leipzig; (DE-588)4035206-7,"Ritzsch, Timotheus; (DE-588)100844332","Ritzsch, Timotheus; (DE-588)100844332",1672,TravelogueD17 Südamerika,Het Waere Onderscheydt tusschen Koude en Warme Landen; 1659,<<Otto Keyens>> kurtzer Entwurff von Neu=Niederland Vnd Guajana; Einander entgegen gesetzt/ Vmb den Vnterscheid zwischen warmen und kalten Landen herauß zu bringen/ Und zu weisen Welche von beyden am füglichsten zu bewohnen/ am behendesten an zu bauen und den besten Nutzen geben mögen. Denen Patronen/ so da Colonien anzu legen gesonnen/ als auch denen Personen und Familien/ die ihr Vaterland zu vergessern sich bey dergleichen Vevölckerung nach fremden Küsten und Reichen gebrauchen laßen wollen; Auß dem Holländischen ins Hochteutsche versetzt durch T. R. C. S. C. S.
AC09743746,Z182437208,http://data.onb.ac.at/ABO/%2BZ182437208,Hamburg; (DE-588)4023118-5,"Naumann, Johann;;Wolff, Georg; (DE-588)128772115;;(DE-588)1037533313","Koch, Melchior; (DE-588)1037506375",1675,TravelogueD17 Arktis Europa,Voyage des septentrionaux; 1671,<<Herrn Martiniere>> Neue Reise Jn die Nordischen Landschafften; Das ist: Eine Beschreibung Der Sitten/ Gebräuche/ Aberglauben/ Gebäuden/ und Kleidung der Norweger/ Lapländer/ Killopen/ Borandianer/ Siberianer / Samojeden/ Zemblaner und Eißlander/ Sampt einem Bedencken über den Jrrthum unser Erdbeschreiber/ wo nemlich Grönland und Nova Zembla liegen/ und wie weit sie sich erstrecken; Aus dem Englischen ins Deutsche übersetzet Durch Johann Langen
AC14473230,Z168353606,http://data.onb.ac.at/ABO/%2BZ168353606,Frankfurt am Main; (DE-588)4018118-2,"Le Blon, Christoph; (DE-588)129782793","Le Blon, Christoph; (DE-588)129782793",1650,TravelogueD17 Arktis Europa Nordamerika,Relation du Groenland; 1647,<<Die>> XXVI. Schiff=Fahrt: BEschreibung einer Höchst=mühseligen vnd gantz gefährlichen Reyse/ durch den See=verständigen Capitain/ Herrn Johann Müncken/ inn Jahren 1619. vnd 1620 verrichtet; Nach dem er von Weyland dem Durchleuchtigsten Fürsten vnd Herrn/ Herrn Christiano IV. König in Dennemarck/ Norgwegen/ etc. befelcht worden/ mit zweyen Schiffen nach dem Freto oder der Enge Hudsons zu segeln/ vmb zu versuchen/ ob nicht deren Gegend eine Enge/ so Groenland von America abscheide/ vnd also eine Durchfahrt nach Ost=Jndien zu finden: Sampt vorhergehender gar deutlicher Erläuterung deß Alten vnd Newen Groenlands/ zu gegenwärtiger Schiff=Fahrts=Beschreibung insonderheit dienlich
AC10418216,Z159579008,http://data.onb.ac.at/ABO/%2BZ159579008,Nürnberg; (DE-588)4042742-0,"Riegel, Christoph; (DE-588)1037511662","Riegel, Christoph; (DE-588)1037511662",1679,TravelogueD17 Arktis,Relation du Groenland; 1647,Ausführliche Beschreibung des theils bewohnt= theils unbewohnt= so genannten Grönlands/; in zwey Theile abgetheilt: Deren erster handelt von des Alt= (nunmehro verlohrnen) Grönlands Gelegenheit/ Erfindung/ Jnwohnern/ Fruchtbarkeit/ Gewächsen/ Thieren vnd Meerwundern. Der andere: von dem Neuen (durch Suchung des alten/ gefundenen) Grönland/ Eigenschafft der Wilden/ und viel andern merckwürdigen Dingen mehr. Nebenst Einem kurtzen Begriff der seltsamen Reisen/ so M. Forbeisser/ Gotzke Lindenau/ Christian Richard/ und die Koppenhagen=Grönländische Gesellschafft / alt Grönland wieder zu finden/ in unterschiedlichen Jahren gethan. Mit Anfügung des Tagbuchs eines die Durchfahrt zwischen Grönland und America suchenden Dänischen Schiffes: wie auch des kurtzen Jnhalts und seltsamen Zufälle der Holl= und Seeländischen Schiffsausrüstung nach Nova Zembla zu eben dem Ende vorgenommen: Sampt Erzehlung der wunderbaren Zufälle/ so dreymal Sieben Personen/ welche den Winter über auf den Spitzbergen und der Mauritiusbay sich aufgehalten/ begegnet/ und wie elendiglich sie unkommen sind. Beschrieben/ und mit verschiedenen Historischen Anhängen durchgehends erklärt und erweitert durch S von V.
AC10054033,Z155013304,http://data.onb.ac.at/ABO/%2BZ155013304,Frankfurt am Main; (DE-588)4018118-2,"Schiele, Johann Georg; (DE-588)124684203","Schiele, Johann Georg; (DE-588)124684203",1673,TravelogueD17 Europa,<<The>> voyage of Italy; (DE-588)4686957-8,"Außführliche Reyse=Beschreibung Durch Jtalien; Worin gar artig und ordentlich beschrieben wird die Natur der Einwohner/ die Städte/ Kirchen/ Palläste/ Klöster/ Gräber/ Bibliothecen, Höfe/ Gärten/ Gemälde/ Bilder und allerley Antiquitäten. Wie auch Deren Fürsten und Herren Bündnüsse/ Regiment/ Reichthumb Einkommen/ Stärcke und Macht/ sampt einer Instruction vor Reisende; Beschrieben in Englischer Sprache durch H. Richard Lassel/ welcher zu fünff unterschiedlichenmalen als ein Hofmeister bey fürnehmen jungen Adelichen Personen Jtalien gesehen und durchgereiset/ nunmehr aber in unsere Teutsche Sprache übersetzet. Durch J. C. S."
AC06609073,Z205028809,http://data.onb.ac.at/ABO/%2BZ205028809,Frankfurt am Main; Leipzig; (DE-588)4018118-2; (DE-588)4035206-7,"Riegel, Christoph; (DE-588)1037511662","Fleischer, Christoph; (DE-588)136284620",1699,TravelogueD17 Asien,Nouveaux mémoires sur l'état présent de la Chine,"<<Das>> heutige Sina; Von dem berühmten Königl. Frantzösischen Mathematico, R. P. Louis le Comte, der Societät Jesu/ Durch Curieuse An verschiedene/ hohe Geist= und weltliche Standes=Personen/ Staats=Ministren/ und anderer vornehme gelährte Leute gefertigte Send=Schreiben/ Den Liebhabern seltener Sachen zu sonderbarer Vergnügung vorgestellet. Aus dem Frantzösischen übersetzet. Mit schönen Kupffern"
AC06609076,Z205028706,http://data.onb.ac.at/ABO/%2BZ205028706,Frankfurt am Main; Leipzig; (DE-588)4018118-2; (DE-588)4035206-7,"Riegel, Christoph; (DE-588)1037511662","Fleischer, Christoph; (DE-588)136284620",1699,TravelogueD17 Asien,Nouveaux mémoires sur l'état présent de la Chine,"<<Das>> heutige Sina; Von dem berühmten Königl. Frantzösischen Mathematico, R. P. Louis le Comte, der Societät Jesu/ Durch Curieuse An verschiedene/ hohe Geist= und weltliche Standes=Personen/ Staats=Ministren/ und andere vornehme gelährte Leute gefertigte Send=Schreiben/ Den Liebhabern seltener Sachen zu sonderbarer Vergnügung vorgestellet. Aus dem Frantzösischen übersetzet. Mit schönen Kupffern"
AC09625867,Z163301008,http://data.onb.ac.at/ABO/%2BZ163301008,Frankfurt am Main; (DE-588)4018118-2,"Bry, Johann Theodor <<de>>; (DE-588)11851640X","Richter, Wolfgang; (DE-588)1037505204",1603,TravelogueD17 Nordamerika,Brevis Narratio Eorum Quae In Florida Americae Provincia Gallis acciderunt,"Der ander Theil/ der Newlich erfundenen Landschafft Americæ; Von dreyen Schiffahrten/ so die Frantzosen in Floridam (die gegen Nidergang gelegen) gethan. Eine vnter dem Hauptman[n] H. Laudonniere,  Anno 1564. Die ander vnter H. Ribald 1565. Die dritte/ vnter H. Guerguesio 1567. geschehen. Mit Beschreibung vnd lebendiger Contrafactur/ dieser Prouintze/ Gestalt/ Sitten vnd Gebräuch der Wilden/ Durch Jacob Le Moyne/ sonst Morges genannt/ der alles selbst gesehen/ vnd deßhalben fürnemlich in diese Landtschafft verschickt worden. Auß dem Frantzösischen in Latein beschrieben/ durch C. C. A. Vnd jetzt auß dem Latein in Teutsch bracht/ durch den Ehrwirdigen H. Oseam Halen. Auch mit schönen vnd Kunstreichen Kupfferstücken/ vnd deren angehenckten Erklärung/ ietzunder zum andern man an Tag gegeben/ durch Dieterich de Bry/ Bürger in Franckfort am Mayn"
AC11093472,Z185144204,http://data.onb.ac.at/ABO/%2BZ185144204,Frankfurt am Main; (DE-588)4018118-2,"Bry, Johann Theodor <<de>>;;Bry, Johann Israel <<de>>; (DE-588)11851640X;;(DE-588)118516396","Richter, Wolfgang; (DE-588)1037505204",1600,TravelogueD17 Asien,Itinerario; (DE-588)4666486-5,Vierder Theil der Orientalischen Jndien/ Jn welchem erstlich gehandelt wirdt/ von allerley Thieren/ Früchten/ Obs/ vn[d] Bäumen/ Jtem von allerhand Würtz/ Specereyen vnd Materialen/ Auch von Perlen vnd allerley Edelgesteinen/ so in gemeldten Jndien gefunden werden/ wo vnd wie sie wachsen/ Auch wie sie daselbst geschätzet/ gekaufft/ vnd genannt werden/; Zum andern/ die letzte Reise der Holländer in die Ost=Jndien/ welche außgefahren im Frühling deß 1598. Jahrs. vnd mit 4. Schiffen wiederumb glücklich anheim gelanget/ im Monat Julio deß 1599. Jahrs/ Auß Niederländischer Sprach in die Hochteutsche versetzet durch M.G.A.V.D. Alles mit schönen Kupfferstücken gezieret vnd an Tag geben durch Johan Dieterich vnd Johan Jsrael de Bry/ Gebrüder/ zu Franckfurt am Mayn
AC09955533,Z207115102,http://data.onb.ac.at/ABO/%2BZ207115102,Nürnberg; (DE-588)4042742-0,"Hoffmann, Johann; (DE-588)124577466","Gerhard, Christoph; (DE-588)133254925",1670,TravelogueD17 Afrika; TravelogueD17 Orient,Itinerário; (DE-588)1024679276,<<P. Hieronymi eines Jesuiten in Portugal>> Neue Beschreibung und Bericht von der wahren Beschaffenheit 1. des Mohrenlandes/ sonderlich des Abyssinischen Käyserthums. 2. Des Ursprungs Nyli. 3. Wo das Einhorn zufinden. 4. Warumb der Abyssiner Käiser Priester Johannes genen[n]et werde. 5. Wie das Rothe Meer beschaffen/ undwoher es diesen Namen habe. 6. Von unterschiedlichen Arten der Palmenbäume/ und von ihrer Tugend und Nutzbarkeit; Alles aus langwüriger Erfahrung zusammengetragen/ und dem Weltkündigem Leser zur angenehmen Nachricht in die Teutsche Sprach übersetzt
AC10082453,Z180307607,http://data.onb.ac.at/ABO/%2BZ180307607,Wien; (DE-588)4066009-6,"Cosmerovius, Matthäus; (DE-588)13310057X","Cosmerovius, Matthäus; (DE-588)13310057X",1668,TravelogueD17 Europa Asien; TravelogueD17 Orient,,"Copey/ Zweyer Schreiben; Von (Titul) Herrn Lelio De Luca, Der Röm. Kays. Mayest. Rath/ Ober=Einnemmern vnnd Forstmeistern zu St. Veit in Kärndten/ der Teutschen Nation Consul, an der Ottomanischen Porta auß Adrianopel/ An (Titul) Die Herrn Directorn Der Orientalischen Compagnie nacher Wienn abgangen ; Datum den 10. Januarij vnd 3. Februarij/ Anno 1668"
AC10085465,Z175174804,http://data.onb.ac.at/ABO/%2BZ175174804,,,,1659,TravelogueD17 Europa Asien,Verae historiae; (DE-588)4227040-6,<<Lucian von Samosata auß Syrien>> Sinnreiches Gedichte Warhafftiger Geschichte/ und Seltzamer Gesichte/; Darin allerhand zur Kurtzweil lustige Händel erzehlet werden/ Was nemlich diesem uhralten Scribenten auff seiner Reise und Schiffahrt vorkommen/ wieviel Wunders er beydes in der Lufft und auff der VnterWelt gesehen/ wie mancherley Völcker er zu Wasser und Lande antroffen und bestritten/ endlich auch sowol der Seligverstorbenen liebliche Wohung/ als der Verdam[m]ten schröckliche Straffgrube/ erforschet und besuchet/; Auß dem Griechischen ins Deutsche übersetzet/ und mit nützlichen Anmerckungen erkläret durch A. H. B.
AC06323994,Z257381902;Z164930901,http://data.onb.ac.at/ABO/%2BZ257381902;http://data.onb.ac.at/ABO/%2BZ164930901,Hamburg; (DE-588)4023118-5,"Guth, Christian; (DE-588)1037531604","Holwein, Johann; (DE-588)139925805",1658,TravelogueD17 Asien Afrika; TravelogueD17 Orient,Journal und Observation; (DE-588)1171493207,<<Des HochEdelgebornen Johan Albrechts von Mandelslo>> Morgenländische Reyse=Beschreibung; Worinnen zugleich die Gelegenheit vnd heutiger Zustand etlicher fürnehmen Jndianischen Länder/ Provincien/ Städte vnd Jnsulen/ sampt derer Einnwohner Leben/ Sitten/ Glauben vnd Handthierung : wie auch die Beschaffenheit der Seefahrt über das Oceanische Meer; Heraus gegeben Durch Adam Olearium Mit desselben unterschiedlichen Notis oder Anmerckungen/ wie auch mit vielen Kupffer Platen gezieret
AC11093577,Z185144009,http://data.onb.ac.at/ABO/%2BZ185144009,Frankfurt am Main; (DE-588)4018118-2,"Bry, Johann Israel <<de>>;;Bry, Johann Theodor <<de>>; (DE-588)118516396;;(DE-588)11851640X","Richter, Wolfgang; (DE-588)1037505204",1603,TravelogueD17 Afrika,"Beschrijvinghe ende historische verhael van het Gout Koninckrijck van Gunea anders de Gout-custe de Mina genaemt, liggende in het deel van Africa; (DE-588)1029740186","Sechster Theil Der Orientalischen Jndien/ Warhafftige historische Beschreibung deß gewaltigen Goltreichen Königreichs Guinea, sonst das Goltgestatt von Mina genandt/ so in Africa gelegen/; sampt derselben gantzen Beschaffenheit/ auch Religion vnnd Opinion/ Sitten vnd Sprachen/ Handel vnd Wandel der Eynwohner daselbst/ beneben einer kurtzen Erzehlung/ was die Schiffe/ so dahin fahren wollen/ für einen Lauff durch die Canarische Jnseln/ biß an das Cabo de Trespunctas, da das Goltgestatt sich anfänget/ halten müssen; Auß niederländischer Verzeichnuß in Hochteutscher Sprache beschrieben durch M. Gotthardt Arthus von Dantzig. Alles dem Liebhaber solcher frembden Historien zu besonderm gefallen mit schönen Kupfferstücken gezieret/ vnd an Tag geben/ Durch Johann Theodor vnd Johann Jsrael von Bry/ Gebrüder"
